feature,weight
vol_roll_mean_15m,1.4786986071307981
hour,1.4783117229777203
close_to_roll_mean_15m,0.1859315922833966
ret_1m,0.033193102338518264
high,0.029100934408412743
trade_count,0.02072626442346991
open,0.0021422244870792457
volume,-0.00486923997209313
vwap,-0.037979893117634146
close,-0.049627857348987434
low,-0.08492570819869293
roll_mean_15m,-0.14250664751056932
ret_5m,-0.21326881037941178
roll_std_5m,-0.25700521545779864
roll_mean_5m,-0.3886132769647538
ret_15m,-0.3916766616503928
roll_std_15m,-0.4062881322343891
vol_roll_std_15m,-0.8179425082856798
minute_of_day_norm,-0.879915596840374
minute_of_day,-0.8799155968403761
