feature,importance
roll_mean_15m,0.08609750419109755
vol_roll_mean_15m,0.08480182303232375
roll_mean_5m,0.08000365099098929
vol_roll_std_15m,0.07734495894202853
minute_of_day_norm,0.0631481163684687
roll_std_15m,0.06113678696318356
minute_of_day,0.06051717150038597
ret_15m,0.057773489981600964
close_to_roll_mean_15m,0.05500062605614149
high,0.0516386694803808
vwap,0.04950262079636635
open,0.04840758567623749
close,0.04782647881651882
low,0.04525697445223971
ret_5m,0.03841617361031622
roll_std_5m,0.0362173499624648
hour,0.021701448576070512
ret_1m,0.018813554186614498
volume,0.010934868043105037
trade_count,0.0054601483734659124
